player_name,team,team_short,role,is_foreign
Ruturaj Gaikwad,Chennai Super Kings,CSK,BAT,0
MS Dhoni,Chennai Super Kings,CSK,WK,0
Sanju Samson,Chennai Super Kings,CSK,WK,0
Dewald Brevis,Chennai Super Kings,CSK,BAT,1
Ayush Mhatre,Chennai Super Kings,CSK,BAT,0
Kartik Sharma,Chennai Super Kings,CSK,WK,0
Sarfaraz Khan,Chennai Super Kings,CSK,BAT,0
Urvil Patel,Chennai Super Kings,CSK,WK,0
Anshul Kamboj,Chennai Super Kings,CSK,AR,0
Jamie Overton,Chennai Super Kings,CSK,AR,1
Ramakrishna Ghosh,Chennai Super Kings,CSK,AR,0
Prashant Veer,Chennai Super Kings,CSK,AR,0
Matthew Short,Chennai Super Kings,CSK,AR,1
Aman Khan,Chennai Super Kings,CSK,AR,0
Zak Foulkes,Chennai Super Kings,CSK,AR,1
Shivam Dube,Chennai Super Kings,CSK,AR,0
Khaleel Ahmed,Chennai Super Kings,CSK,BOWL,0
Noor Ahmad,Chennai Super Kings,CSK,BOWL,1
Mukesh Choudhary,Chennai Super Kings,CSK,BOWL,0
Nathan Ellis,Chennai Super Kings,CSK,BOWL,1
Shreyas Gopal,Chennai Super Kings,CSK,BOWL,0
Gurjapneet Singh,Chennai Super Kings,CSK,BOWL,0
Akeal Hosein,Chennai Super Kings,CSK,BOWL,1
Matt Henry,Chennai Super Kings,CSK,BOWL,1
Rahul Chahar,Chennai Super Kings,CSK,BOWL,0
Rohit Sharma,Mumbai Indians,MI,BAT,0
Suryakumar Yadav,Mumbai Indians,MI,BAT,0
Robin Minz,Mumbai Indians,MI,WK,0
Sherfane Rutherford,Mumbai Indians,MI,BAT,1
Ryan Rickelton,Mumbai Indians,MI,WK,1
Quinton de Kock,Mumbai Indians,MI,WK,1
Danish Malewar,Mumbai Indians,MI,BAT,0
Tilak Varma,Mumbai Indians,MI,BAT,0
Hardik Pandya,Mumbai Indians,MI,AR,0
Naman Dhir,Mumbai Indians,MI,AR,0
Mitchell Santner,Mumbai Indians,MI,AR,1
Raj Angad Bawa,Mumbai Indians,MI,AR,0
Atharva Ankolekar,Mumbai Indians,MI,AR,0
Mayank Rawat,Mumbai Indians,MI,AR,0
Corbin Bosch,Mumbai Indians,MI,AR,1
Will Jacks,Mumbai Indians,MI,AR,1
Shardul Thakur,Mumbai Indians,MI,AR,0
Trent Boult,Mumbai Indians,MI,BOWL,1
Mayank Markande,Mumbai Indians,MI,BOWL,0
Deepak Chahar,Mumbai Indians,MI,BOWL,0
Ashwani Kumar,Mumbai Indians,MI,BOWL,0
Raghu Sharma,Mumbai Indians,MI,BOWL,0
Mohammad Izhar,Mumbai Indians,MI,BOWL,0
Allah Ghazanfar,Mumbai Indians,MI,BOWL,1
Jasprit Bumrah,Mumbai Indians,MI,BOWL,0
Rajat Patidar,Royal Challengers Bengaluru,RCB,BAT,0
Devdutt Padikkal,Royal Challengers Bengaluru,RCB,BAT,0
Virat Kohli,Royal Challengers Bengaluru,RCB,BAT,0
Phil Salt,Royal Challengers Bengaluru,RCB,WK,1
Jitesh Sharma,Royal Challengers Bengaluru,RCB,WK,0
Jordan Cox,Royal Challengers Bengaluru,RCB,WK,1
Krunal Pandya,Royal Challengers Bengaluru,RCB,AR,0
Swapnil Singh,Royal Challengers Bengaluru,RCB,AR,0
Tim David,Royal Challengers Bengaluru,RCB,AR,1
Romario Shepherd,Royal Challengers Bengaluru,RCB,AR,1
Jacob Bethell,Royal Challengers Bengaluru,RCB,AR,1
Venkatesh Iyer,Royal Challengers Bengaluru,RCB,AR,0
Satvik Deswal,Royal Challengers Bengaluru,RCB,AR,0
Mangesh Yadav,Royal Challengers Bengaluru,RCB,AR,0
Vicky Ostwal,Royal Challengers Bengaluru,RCB,AR,0
Vihaan Malhotra,Royal Challengers Bengaluru,RCB,AR,0
Kanishk Chouhan,Royal Challengers Bengaluru,RCB,AR,0
Josh Hazlewood,Royal Challengers Bengaluru,RCB,BOWL,1
Rasikh Dar,Royal Challengers Bengaluru,RCB,BOWL,0
Suyash Sharma,Royal Challengers Bengaluru,RCB,BOWL,0
Bhuvneshwar Kumar,Royal Challengers Bengaluru,RCB,BOWL,0
Nuwan Thushara,Royal Challengers Bengaluru,RCB,BOWL,1
Abhinandan Singh,Royal Challengers Bengaluru,RCB,BOWL,0
Jacob Duffy,Royal Challengers Bengaluru,RCB,BOWL,1
Yash Dayal,Royal Challengers Bengaluru,RCB,BOWL,0
KL Rahul,Delhi Capitals,DC,WK,0
Karun Nair,Delhi Capitals,DC,BAT,0
David Miller,Delhi Capitals,DC,BAT,1
Ben Duckett,Delhi Capitals,DC,WK,1
Pathum Nissanka,Delhi Capitals,DC,BAT,1
Sahil Parakh,Delhi Capitals,DC,BAT,0
Prithvi Shaw,Delhi Capitals,DC,BAT,0
Abishek Porel,Delhi Capitals,DC,WK,0
